0,1
1,26
1,2
3,4
4,8
4,5
5,29
5,6
6,137
7,28
8,9
9,91
10,99
11,99
12,99
13,99
14,24
15,70
16,116
17,99
18,19
19,35
19,20
21,58
22,99
23,24
24,45
24,41
25,99
26,31
26,27
27,177
28,80
28,78
29,30
31,92
32,33
33,71
34,60
35,110
36,40
36,37
37,39
37,38
38,72
39,74
40,70
41,42
42,45
42,43
43,44
44,99
44,47
45,48
45,46
46,47
47,161
48,49
49,99
50,129
50,125
51,52
52,53
53,55
53,54
54,83
54,78
55,84
56,99
57,99
58,99
59,66
59,60
60,67
60,61
61,63
61,62
62,99
63,65
63,64
64,99
65,175
66,67
67,68
68,99
68,69
69,99
70,71
71,72
72,73
73,99
73,74
74,99
74,75
75,99
76,77
77,139
78,86
78,83
78,82
78,81
78,80
78,79
83,84
84,85
85,87
86,87
87,176
87,88
88,90
88,89
89,136
90,91
91,92
92,93
93,94
94,97
94,95
95,99
95,96
96,99
97,98
98,99
99,175
99,169
99,162
99,160
99,155
99,154
99,153
99,152
99,120
99,119
99,116
99,114
99,113
99,109
99,108
99,107
99,106
99,105
99,104
99,103
99,102
99,100
100,101
101,122
102,121
103,105
109,110
110,156
110,111
111,112
112,158
113,164
114,115
115,172
116,118
116,117
120,121
121,122
122,124
122,123
123,130
124,129
124,125
125,129
125,128
125,127
125,126
129,130
130,134
130,131
131,132
132,133
133,178
134,135
135,136
136,137
137,150
137,138
138,144
138,139
139,143
139,141
139,140
140,149
141,142
143,151
144,146
144,145
145,148
145,147
145,146
146,148
146,147
148,149
150,151
153,171
154,174
155,156
156,157
157,159
157,158
160,161
161,162
162,164
162,163
163,167
164,168
164,166
164,165
166,167
169,173
169,170
170,171
171,172
173,174
174,175
176,177
177,178
178,179
179,180
180,181
